,Unnamed: 0,country,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,oecd,incomegroup,mean,median,reference_period,exchangerate,mean_usd,median_usd
2,3,Algeria,2012,27.62,9.36,13.67,17.47,22.29,37.22,4.05,5.31,6.36,7.31,8.24,9.23,10.39,11.9,14.36,22.86,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Non-OECD,3,2972.76,2592.0,Year,77.5359666666667,2973.0,2592.0
32,33,Djibouti,2013,44.13,4.92,9.68,14.55,20.88,49.97,1.71,3.21,4.21,5.47,6.64,7.91,9.42,11.46,15.87,34.1,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,2,1772.04,1280.4,Year,177.72099999999998,1772.0,1280.0
35,36,Egypt,2015,31.82,9.12,12.79,16.04,20.56,41.49,3.92,5.2,6.01,6.78,7.57,8.47,9.53,11.03,13.71,27.78,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Non-OECD,2,2197.56,1760.04,Year,7.69125833333333,2198.0,1760.0
52,53,Iran,2014,38.78,6.29,10.89,15.26,21.91,45.65,2.42,3.87,4.93,5.96,7.04,8.22,9.84,12.07,15.85,29.8,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,Non-OECD,3,5962.8,4512.0,Year,25941.6641445972,5963.0,4512.0
53,54,Iraq,2012,29.54,8.8,13.13,17.06,22.5,38.51,3.68,5.12,6.1,7.03,8.0,9.06,10.36,12.14,14.81,23.7,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,3,2145.72,1825.44,Year,1166.16666666667,2146.0,1825.0
54,55,Israel,2016,39.1,5.07,10.62,16.37,23.66,44.28,1.8,3.27,4.61,6.01,7.45,8.92,10.68,12.98,16.45,27.83,0.65,16.98,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,OECD,4,57775.0,47304.0,Year,3.84056666666667,,
56,57,Jordan,2011,33.66,8.19,12.11,15.84,21.45,42.41,3.45,4.74,5.64,6.47,7.4,8.44,9.74,11.71,14.96,27.45,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,3,3979.56,3149.04,Year,0.71,3980.0,3149.0
63,64,Lebanon,2012,31.83,7.85,12.69,16.98,22.51,39.96,3.09,4.76,5.86,6.83,7.86,9.12,10.36,12.15,15.17,24.79,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,3,8360.4,7092.36,Year,1507.5,8360.0,7092.0
78,79,Morocco,2014,39.55,6.7,10.75,14.69,20.87,47.0,2.7,4.0,4.94,5.81,6.78,7.91,9.38,11.49,15.11,31.89,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Non-OECD,2,3661.2,2672.52,Year,8.40633668826152,3661.0,2673.0
106,107,Syria,2007,32.0,8.96,12.81,16.23,21.67,40.31,3.84,5.12,6.0,6.81,7.61,8.62,9.92,11.75,14.61,25.7,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,1,53604.0,,Month,11.225,,
115,116,Tunisia,2011,35.81,6.73,11.6,16.14,22.62,42.92,2.6,4.13,5.29,6.31,7.43,8.71,10.25,12.37,15.89,27.03,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Non-OECD,2,3458.16,2777.88,Year,1.40778333333333,3458.0,2778.0
125,126,West Bank and Gaza,2017,33.69,7.29,11.89,16.6,23.15,41.06,2.9,4.39,5.42,6.47,7.63,8.97,10.53,12.62,15.87,25.19,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,2,3831.36,3165.0,Year,,3831.0,3165.0
126,127,Yemen,2014,36.71,7.29,11.47,15.3,21.23,44.7,3.0,4.29,5.27,6.2,7.11,8.19,9.61,11.62,15.27,29.43,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,1,1479.48,1132.44,Year,214.89,1479.0,1132.0
