,Unnamed: 0,country,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,oecd,incomegroup,mean,median,reference_period,exchangerate,mean_usd,median_usd
19,20,Cambodia,2014,,2.8,9.8,14.9,21.8,50.8,,,,,,,,,,,1.5,36.8,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,2,331000.0,233000.0,Year,4037.5,,
25,26,China,2016,46.5,4.23,9.88,16.02,24.49,45.37,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Eastern Asia,Non-OECD,3,23821.0,,Year,6.644477829446809,,
51,52,Indonesia,2017,39.1,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,2,,,,13380.871666666699,,
59,60,Kiribati,2006,36.97,6.59,11.56,16.0,21.9,43.95,2.55,4.04,5.25,6.31,7.39,8.61,10.02,11.88,14.7,29.25,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Micronesia,Non-OECD,2,1858.68,1489.2,Year,1.3279734404999999,1859.0,1489.0
62,63,Laos,2013,36.39,7.56,11.54,15.35,20.95,44.6,3.16,4.4,5.32,6.22,7.15,8.2,9.5,11.45,14.84,29.76,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,2,1357.44,1040.76,Year,7860.1375,1357.0,1041.0
68,69,Malaysia,2016,41.04,5.82,10.11,14.81,22.0,47.26,2.28,3.54,4.55,5.56,6.72,8.09,9.83,12.17,16.0,31.26,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,3,10201.92,7513.56,Year,4.14830066287879,10202.0,7514.0
74,75,"Micronesia, Federated States of",2013,40.06,5.54,10.67,15.32,22.46,46.02,1.87,3.67,4.79,5.88,7.01,8.31,9.99,12.47,16.3,29.72,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Micronesia,Non-OECD,2,1829.04,1391.16,Year,1.0,1829.0,1391.0
76,77,Mongolia,2016,32.35,8.03,12.42,16.64,22.35,40.57,3.32,4.71,5.74,6.68,7.72,8.92,10.28,12.07,14.95,25.62,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Eastern Asia,Non-OECD,2,3199.44,2659.56,Year,2140.2908640611604,3199.0,2660.0
80,81,Myanmar,2015,38.07,7.33,11.34,15.01,20.59,45.73,2.95,4.38,5.25,6.09,6.97,8.04,9.38,11.21,14.02,31.71,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,2,2059.44,1530.96,Year,1162.61532862554,2059.0,1531.0
87,88,Papua New Guinea,2010,41.85,5.07,9.99,15.17,22.44,47.34,1.87,3.2,4.41,5.58,6.86,8.31,9.99,12.45,16.34,31.0,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Melanesia,Non-OECD,2,1162.56,876.96,Year,2.71929416666667,1163.0,877.0
90,91,Philippines,2015,44.35,5.69,9.28,13.48,20.68,50.88,2.31,3.38,4.21,5.07,6.11,7.37,9.09,11.59,16.07,34.81,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,2,2676.72,1791.72,Year,45.5028399421431,2677.0,1792.0
95,96,Samoa,2008,42.05,6.4,9.98,14.07,20.35,49.21,2.68,3.72,4.53,5.45,6.46,7.61,9.0,11.35,15.12,34.09,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Polynesia,Non-OECD,3,3607.8,2539.2,Year,2.64417628032353,3608.0,2539.0
101,102,Singapore,2012,,4.78,10.6,16.18,23.27,45.17,1.59,3.19,4.62,5.98,7.35,8.83,10.53,12.74,15.82,29.36,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,4,124176.0,90792.0,Month,1.2496762037037,,
102,103,Solomon Islands,2013,37.05,6.98,11.37,15.5,21.54,44.61,2.76,4.22,5.2,6.17,7.22,8.28,9.74,11.8,15.36,29.25,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Melanesia,Non-OECD,2,1333.44,1028.4,Year,7.30213510004206,1333.0,1028.0
107,108,Taiwan (China),2017,27.7,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Eastern Asia,Non-OECD,4,331903.0,284228.0,Year,,,
110,111,Thailand,2015,35.99,7.48,11.29,15.54,21.94,43.75,3.17,4.31,5.19,6.1,7.15,8.39,9.93,12.01,15.35,28.4,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,3,5632.2,4346.16,Year,34.2477166666667,5632.0,4346.0
111,112,Timor-Leste,2014,28.65,9.42,13.42,16.91,21.83,38.41,4.04,5.38,6.29,7.13,8.0,8.91,10.06,11.77,14.42,23.99,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,2,1029.0,870.12,Year,1.0,1029.0,870.0
113,114,Tonga,2009,37.5,6.74,11.03,15.51,22.15,44.58,2.69,4.05,5.04,5.99,7.1,8.41,10.0,12.15,15.65,28.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Polynesia,Non-OECD,3,3546.84,2755.68,Year,2.0344936132287903,3547.0,2756.0
117,118,Tuvalu,2010,39.14,6.59,10.81,14.95,21.28,46.38,2.69,3.9,4.87,5.94,6.93,8.02,9.68,11.6,15.66,30.72,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Polynesia,Non-OECD,3,2802.96,2099.52,Year,,2803.0,2100.0
122,123,Vanuatu,2010,37.63,6.74,11.14,15.53,21.77,44.81,2.68,4.06,5.04,6.1,7.19,8.34,9.78,11.99,15.41,29.4,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Melanesia,Non-OECD,2,1781.52,1379.76,Year,96.9058333333333,1782.0,1380.0
124,125,Vietnam,2016,35.27,6.9,11.87,16.32,22.41,42.5,2.65,4.25,5.41,6.46,7.56,8.76,10.21,12.2,15.38,27.12,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,Non-OECD,2,3465.12,2818.44,Year,21935.000833333303,3465.0,2818.0
