,Unnamed: 0,country,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,oecd,incomegroup,mean,median,reference_period,exchangerate,mean_usd,median_usd
1,2,Albania,2012,28.96,8.85,13.17,17.34,22.81,37.82,3.66,5.19,6.14,7.03,8.08,9.26,10.52,12.29,14.89,22.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Non-OECD,3,2703.36,2340.72,Year,108.184644599242,2703.0,2341.0
5,6,Armenia,2016,32.55,7.86,12.12,17.05,22.83,40.15,3.27,4.59,5.52,6.6,7.9,9.15,10.57,12.26,14.87,25.28,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,3,2600.52,2217.96,Year,480.488150777966,2601.0,2218.0
6,7,Azerbaijan,2005,16.64,13.37,16.4,18.51,21.51,30.19,6.1,7.27,7.92,8.48,8.96,9.55,10.28,11.23,12.78,17.41,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,3,3014.28,2785.92,Year,0.945421,3014.0,2786.0
9,10,Belarus,2016,26.99,9.64,14.06,17.51,21.89,36.92,4.06,5.58,6.6,7.46,8.29,9.22,10.24,11.65,13.97,22.95,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Non-OECD,3,7069.8,6197.04,Year,1.9895628333333302,7070.0,6197.0
14,15,Bosnia and Herzegovina,2015,32.68,7.67,12.36,16.65,22.83,40.49,3.03,4.64,5.7,6.66,7.71,8.94,10.44,12.39,15.43,25.06,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Non-OECD,3,6808.56,5662.2,Year,1.7634916469468602,6809.0,5662.0
42,43,Georgia,2016,36.49,6.7,11.5,15.97,22.24,43.59,2.61,4.09,5.21,6.29,7.4,8.57,10.08,12.16,15.53,28.06,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Non-OECD,2,2693.88,2137.68,Year,2.366725,2694.0,2138.0
57,58,Kazakhstan,2015,26.86,9.95,13.72,17.21,22.18,36.93,4.33,5.62,6.46,7.26,8.1,9.11,10.32,11.86,14.32,22.61,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Central Asia,Non-OECD,3,4146.0,3557.64,Year,221.728333333333,4146.0,3558.0
60,61,Kosovo,2016,26.54,9.46,14.03,17.7,22.71,36.1,3.84,5.62,6.59,7.44,8.38,9.32,10.57,12.14,14.44,21.66,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Non-OECD,2,3243.36,2879.4,Year,,3243.0,2879.0
61,62,Kyrgyzstan,2016,26.78,10.05,13.87,17.1,21.81,37.18,4.36,5.69,6.54,7.33,8.1,9.0,10.12,11.69,14.27,22.91,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Central Asia,Non-OECD,2,1930.8,1646.88,Year,69.9140658252997,1931.0,1647.0
75,76,Moldova,2016,26.35,10.02,14.08,17.41,21.89,36.6,4.31,5.71,6.65,7.43,8.23,9.18,10.25,11.64,13.91,22.69,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Non-OECD,2,3421.32,2969.64,Year,19.923827563341998,3421.0,2970.0
77,78,Montenegro,2014,31.93,8.46,12.29,16.59,22.15,40.51,3.55,4.91,5.66,6.63,7.72,8.87,10.15,12.0,14.79,25.72,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Non-OECD,3,5294.64,4408.44,Year,0.7537307367174021,5295.0,4408.0
92,93,Russia,2015,37.74,6.91,11.11,15.18,21.51,45.29,2.78,4.13,5.09,6.02,7.0,8.18,9.71,11.8,15.6,29.69,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Non-OECD,3,8162.4,6145.8,Year,60.9376501088951,8162.0,6146.0
98,99,Serbia and Montenegro,2001,37.8,8.97,13.32,17.02,21.56,36.63,3.71,5.25,6.2,7.12,8.03,8.99,10.1,11.46,13.66,22.96,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Non-OECD,3,51379.2,,Month,,,
108,109,Tajikistan,2015,34.0,7.43,12.04,16.38,22.42,41.72,2.95,4.48,5.52,6.52,7.6,8.78,10.25,12.17,15.33,26.39,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Central Asia,Non-OECD,1,2312.64,1892.64,Year,6.16311666666667,2313.0,1893.0
116,117,Turkey,2016,41.87,5.72,9.94,14.49,21.56,48.3,2.21,3.51,4.5,5.44,6.57,7.92,9.59,11.97,16.21,32.09,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,OECD,3,6810.96,4928.52,Year,3.02013474808043,6811.0,4929.0
119,120,Ukraine,2016,25.0,10.07,14.4,17.93,22.45,35.14,4.31,5.76,6.74,7.66,8.51,9.42,10.52,11.93,13.94,21.2,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Non-OECD,2,4197.36,3765.96,Year,25.5513341166667,4197.0,3766.0
