,Unnamed: 0,country,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,oecd,incomegroup,mean,median,reference_period,exchangerate,mean_usd,median_usd
3,4,Angola,2009,55.0,3.0,7.0,12.0,19.0,59.0,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,2,105204.0,,Month,79.3281666666667,,
11,12,Benin,2015,47.76,3.24,9.64,14.15,20.84,52.13,1.0,2.24,4.27,5.37,6.46,7.69,9.33,11.51,14.51,37.62,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,990.72,700.44,Year,591.449507501328,991.0,700.0
15,16,Botswana,2010,49.5,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Southern Africa,Non-OECD,3,36552.0,,Month,6.7936079944304,,
17,18,Burkina Faso,2014,35.3,8.31,11.69,15.05,20.64,44.32,3.6,4.71,5.48,6.21,7.02,8.03,9.34,11.3,14.72,29.6,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,1006.08,751.44,Year,494.414952864937,1006.0,751.0
18,19,Burundi,2014,38.62,6.86,11.0,14.96,20.84,46.33,2.76,4.1,5.04,5.96,6.95,8.01,9.38,11.46,15.31,31.02,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,652.92,484.8,Year,1546.68666666667,653.0,485.0
20,21,Cameroon,2014,46.64,4.51,8.47,13.69,21.61,51.72,1.72,2.79,3.69,4.78,6.08,7.61,9.53,12.08,16.68,35.04,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,2,1936.32,1308.96,Year,494.414952864937,1936.0,1309.0
21,22,Cape Verde,2015,46.0,5.2,,,,52.2,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,2,182268.0,,Year,99.38569354256849,,
22,23,Central African Republic,2008,56.24,3.33,6.99,11.12,17.71,60.85,1.21,2.12,3.02,3.97,5.01,6.11,7.65,10.06,14.63,46.22,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,1,884.64,487.68,Year,447.805255560773,885.0,488.0
23,24,Chad,2011,43.32,4.86,9.71,14.8,21.83,48.81,1.78,3.08,4.25,5.46,6.72,8.08,9.66,12.17,16.37,32.44,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,1,1177.68,876.6,Year,471.86611409169996,1178.0,877.0
27,28,Comoros,2014,45.33,4.47,9.08,13.91,22.18,50.35,1.61,2.86,3.96,5.12,6.25,7.66,9.82,12.36,16.69,33.66,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,2128.44,1454.28,Year,370.811214648703,2128.0,1454.0
28,29,"Congo, Democratic Republic of the",2013,42.1,5.54,9.98,14.49,21.62,48.36,2.09,3.45,4.47,5.51,6.6,7.89,9.61,12.01,16.37,31.99,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,1,549.96,396.24,Year,919.565907354881,550.0,396.0
29,30,"Congo, Republic of the",2011,48.94,4.2,8.22,13.17,20.67,53.74,1.56,2.64,3.57,4.65,5.9,7.27,9.01,11.66,15.81,37.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,2,1409.04,914.52,Year,471.86611409169996,1409.0,915.0
31,32,Cote d'Ivoire,2015,41.47,5.71,10.24,14.64,21.63,47.78,2.11,3.6,4.62,5.62,6.67,7.97,9.63,12.0,15.85,31.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,2,1403.28,1019.88,Year,591.449507501328,1403.0,1020.0
37,38,Equatorial Guinea,2001,50.2,2.4,,,,53.0,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,3,,,,733.03850707,,
38,39,Eswatini,2010,51.45,4.0,7.54,11.83,19.89,56.73,1.48,2.52,3.33,4.21,5.26,6.57,8.52,11.37,16.75,39.98,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Southern Africa,Non-OECD,2,1406.76,823.56,Year,7.32122196115288,1407.0,824.0
39,40,Ethiopia,2016,39.07,6.62,11.03,15.03,20.6,46.72,2.61,4.01,5.02,6.01,7.01,8.02,9.29,11.31,15.32,31.4,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,1334.52,1003.2,Year,21.7315472222222,1335.0,1003.0
40,41,Gabon,2017,38.02,6.05,10.85,15.74,23.0,44.37,2.24,3.81,4.85,6.0,7.21,8.53,10.33,12.67,16.64,27.73,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,3,3533.64,2770.68,Year,582.094550149641,3534.0,2771.0
41,42,"Gambia, The",2016,35.92,7.39,11.57,15.67,21.76,43.61,3.01,4.38,5.33,6.24,7.2,8.47,9.92,11.84,14.88,28.73,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,1799.04,1394.16,Year,43.884633594690506,1799.0,1394.0
43,44,Ghana,2013,42.37,5.35,9.78,14.6,21.91,48.35,2.01,3.34,4.36,5.42,6.61,7.99,9.68,12.23,16.6,31.75,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,2,2278.44,1659.48,Year,1.95405,2278.0,1659.0
45,46,Guinea,2012,33.73,7.56,12.18,16.39,22.38,41.5,3.03,4.53,5.61,6.57,7.59,8.8,10.22,12.16,15.09,26.41,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,1047.6,852.12,Year,6985.82902633333,1048.0,852.0
